genes	FreqDE	ConsistencyDE	ConsistencyToFreq
COL17A1	6	-6	1
MT2A	6	-6	1
PMEPA1	6	-6	1
CAV1	5	-5	1
CRIP1	5	-5	1
GNG11	5	-5	1
IRS1	5	-5	1
LGALS1	5	-5	1
LINC02657	5	-5	1
TH	5	-5	1
COL12A1	4	-4	1
COL7A1	4	-4	1
DUSP6	4	-4	1
FJX1	4	-4	1
G0S2	4	-4	1
IER3	4	-4	1
LHX1	4	-4	1
MIR100HG	4	-4	1
PTHLH	4	-4	1
RAB31	4	-4	1
S100A4	4	-4	1
SNCG	4	-4	1
TGFBI	4	-4	1
UGT2B7	4	-4	1
VIM	4	-4	1
WNT7A	4	-4	1
ZFP36L2	4	-4	1
ABCA13	3	-3	1
ABHD2	3	-3	1
AC108449.1	3	-3	1
ACOT2	3	-3	1
AL121761.1	3	-3	1
CAVIN3	3	-3	1
CLEC2B	3	-3	1
CSKMT	3	-3	1
CXCL3	3	-3	1
ERG	3	-3	1
GALNT13	3	-3	1
HIST1H2BJ	3	-3	1
KCNMA1	3	-3	1
KIAA1549L	3	-3	1
KLK14	3	-3	1
KRT14	3	-3	1
LAMA3	3	-3	1
LGALS7B	3	-3	1
LINC01151	3	-3	1
LRP1B	3	-3	1
MMP28	3	-3	1
MT1X	3	-3	1
MYC	3	-3	1
NEFM	3	-3	1
NEK10	3	-3	1
PDGFA	3	-3	1
POLG2	3	-3	1
PPTC7	3	-3	1
PTPRZ1	3	-3	1
SETDB2	3	-3	1
SLC9B1	3	-3	1
SPOCK1	3	-3	1
TMEM45A	3	-3	1
TRPC6	3	-3	1
VEGFC	3	-3	1
ZBED2	3	-3	1
ZBTB45	3	-3	1
AC004704.1	2	-2	1
AC036176.1	2	-2	1
ADAMTS1	2	-2	1
ADAMTS3	2	-2	1
AL118516.1	2	-2	1
AL451123.1	2	-2	1
APCDD1L-DT	2	-2	1
APTX	2	-2	1
ARL15	2	-2	1
B4GALNT3	2	-2	1
BCAT1	2	-2	1
BFSP1	2	-2	1
BRF1	2	-2	1
BTBD11	2	-2	1
CACNA2D1	2	-2	1
CALML5	2	-2	1
CARS2	2	-2	1
CCL3	2	-2	1
CCL5	2	-2	1
CITED4	2	-2	1
COL8A1	2	-2	1
CRCT1	2	-2	1
DDIT3	2	-2	1
FAM241A	2	-2	1
FOXP2	2	-2	1
FRMD5	2	-2	1
FTL	2	-2	1
G2E3-AS1	2	-2	1
GEM	2	-2	1
HAS2	2	-2	1
HEXIM1	2	-2	1
HILPDA	2	-2	1
HTR7	2	-2	1
ID1	2	-2	1
IGFBP5	2	-2	1
IGFBP7	2	-2	1
IL13RA2	2	-2	1
IL1RAPL1	2	-2	1
IL33	2	-2	1
INHBA	2	-2	1
KRT31	2	-2	1
LIAS	2	-2	1
LINC02015	2	-2	1
LINC02377	2	-2	1
LINC02474	2	-2	1
MAGI3	2	-2	1
MARCOL	2	-2	1
MFAP5	2	-2	1
MIR4300HG	2	-2	1
MMP16	2	-2	1
MSN	2	-2	1
MTAP	2	-2	1
MYLIP	2	-2	1
NKILA	2	-2	1
NOL12	2	-2	1
NRG1	2	-2	1
PGM1	2	-2	1
PIK3CD	2	-2	1
PIK3R4	2	-2	1
PLOD2	2	-2	1
PTCHD1-AS	2	-2	1
PTPN14	2	-2	1
RNF41	2	-2	1
SERPINH1	2	-2	1
SH3PXD2A	2	-2	1
SLC16A1-AS1	2	-2	1
SLC24A3	2	-2	1
SLC39A10	2	-2	1
SLC6A11	2	-2	1
SOX7	2	-2	1
SULT1A1	2	-2	1
TENM2	2	-2	1
TFPI2	2	-2	1
TGM2	2	-2	1
TNC	2	-2	1
TTLL11	2	-2	1
VSTM5	2	-2	1
WDR66	2	-2	1
WDR74	2	-2	1
ZFPM2	2	-2	1
ZNF114	2	-2	1
ZPLD1	2	-2	1
ZSCAN32	2	-2	1
