genes	FreqDE	ConsistencyDE	ConsistencyToFreq
LCN2	6	6	1
S100A9	6	6	1
ADM	5	5	1
KLK11	5	5	1
RIMS2	5	5	1
IFI27	4	4	1
KBTBD3	4	4	1
KLK9	4	4	1
MSH3	4	4	1
AC087762.1	3	3	1
AC090192.2	3	3	1
ADAMTS17	3	3	1
ANO3	3	3	1
CA9	3	3	1
COLEC10	3	3	1
CTHRC1	3	3	1
DNAH17	3	3	1
DNAJC15	3	3	1
ECM1	3	3	1
FAM155A	3	3	1
FBXO32	3	3	1
FERMT1	3	3	1
IDO1	3	3	1
IGFBP2	3	3	1
ITGB1-DT	3	3	1
KCNQ5	3	3	1
KLK10	3	3	1
KRT6B	3	3	1
LMO7	3	3	1
LMTK3	3	3	1
MUC4	3	3	1
NMU	3	3	1
PKP1	3	3	1
PTPRJ	3	3	1
RMRP	3	3	1
SCHLAP1	3	3	1
SERPINB1	3	3	1
SERPINB4	3	3	1
SMURF2	3	3	1
TAGLN3	3	3	1
TIMP3	3	3	1
TRIM16L	3	3	1
ABCA5	2	2	1
ABHD3	2	2	1
ABTB2	2	2	1
AC008662.1	2	2	1
AC018816.1	2	2	1
AC022325.2	2	2	1
AC027458.1	2	2	1
AC068946.3	2	2	1
AC093865.1	2	2	1
AC113346.2	2	2	1
ADGRF1	2	2	1
AKAP12	2	2	1
AL035458.2	2	2	1
AL078590.2	2	2	1
AMTN	2	2	1
APOBEC3A	2	2	1
ARMC7	2	2	1
C15orf48	2	2	1
CACHD1	2	2	1
CAMK1D	2	2	1
CDH2	2	2	1
CDK6	2	2	1
CEMIP	2	2	1
CENPW	2	2	1
CRYAB	2	2	1
CTC1	2	2	1
CYP1B1-AS1	2	2	1
DDX60	2	2	1
DLC1	2	2	1
EFCAB11	2	2	1
EPS8	2	2	1
F3	2	2	1
FBXO5	2	2	1
FLT1	2	2	1
GLIS3	2	2	1
HMMR	2	2	1
IGFBP3	2	2	1
IL36G	2	2	1
IQGAP2	2	2	1
ITPKC	2	2	1
KANK2	2	2	1
KLHDC7B	2	2	1
LINC00598	2	2	1
LINC00862	2	2	1
LINC02753	2	2	1
LINC02842	2	2	1
LPAR1	2	2	1
LRMDA	2	2	1
LTBP1	2	2	1
LY6D	2	2	1
MMP7	2	2	1
MUC20	2	2	1
NRARP	2	2	1
NXN	2	2	1
PLSCR2	2	2	1
POLR2A	2	2	1
POLR2B	2	2	1
PPP2R2B	2	2	1
PRSS22	2	2	1
RBP4	2	2	1
RHCG	2	2	1
RIPPLY3	2	2	1
S100A7	2	2	1
SAMD9	2	2	1
SCEL	2	2	1
SCG5	2	2	1
SEMA5A	2	2	1
SERPINB3	2	2	1
SLC43A2	2	2	1
SPRR1B	2	2	1
SPRR2A	2	2	1
SPRR2G	2	2	1
SULT2B1	2	2	1
TCP11L1	2	2	1
TGM1	2	2	1
THSD7A	2	2	1
TMC1	2	2	1
TMEM138	2	2	1
TMEM40	2	2	1
TMEM91	2	2	1
TNS3	2	2	1
USP54	2	2	1
VAT1	2	2	1
VNN1	2	2	1
ZSCAN21	2	2	1
