	PercentUnique	CutRate	NumSaturatedTargets	PercentUnsaturatedTargets	NumCells
CTR_MGH_0	0.6616541353383458	0.4214328717639976	20	0.6825396825396826	133
CTR_MGH_1	0.5960144927536232	0.7157277882797732	7	0.6666666666666667	3312
CTR_MGH_2	0.8971807628524047	0.49140017836667094	29	0.5166666666666666	603
CTR_MGH_3	0.91	0.2394085868638044	65	0.39814814814814814	200
CTR_MGH_4	0.6880952380952381	0.5881786058464504	7	0.6111111111111112	420
CTR_MGH_5	0.7226890756302521	0.7746478873239436	20	0.4444444444444444	119
CTR_MGH_6	0.5467625899280576	0.6606929510155317	17	0.29166666666666663	139
CTR_MGH_7	1.0	0.15454545454545454	31	0.6436781609195402	21
CTR_MGH_8	0.9210526315789473	0.5014577259475219	32	0.37254901960784315	38
CTR_MGH_9	0.8695652173913043	0.6560509554140128	6	0.75	23
CTR_RT_0	0.5526315789473685	0.33207547169811324	9	0.625	38
CTR_RT_1	0.20946416144746	0.2361014420686226	16	0.40740740740740744	2874
GEM_RT_1	0.14676616915422885	0.20900900900900898	26	0.2777777777777778	402
GEM_RT_12	0.5757575757575758	0.4013605442176871	0	1.0	66
GEM_RT_13	0.3611111111111111	0.59375	2	0.6666666666666667	36
GEM_RT_15	0.3333333333333333	0.6	13	0.1333333333333333	15
GEM_RT_17	0.8181818181818182	0.5909090909090908	1	0.6666666666666667	11
GEM_RT_18	1.0	1.0	2	0.33333333333333337	4
GEM_RT_19	0.36	0.5869565217391304	3	0.5	25
GEM_RT_5	1.0	1.0	8	0.11111111111111116	3
GEM_RT_6	0.27586206896551724	0.2503617945007236	0	1.0	116
MI_MGH_0	0.5945945945945946	0.310272536687631	24	0.3846153846153846	37
MI_MGH_1	0.2357538261152719	0.21693051890941073	47	0.21666666666666667	3071
MI_MGH_2	0.9539473684210527	0.6507000736919676	10	0.7435897435897436	152
MI_MGH_3	0.2	1.0	8	0.11111111111111116	5
Met_MGH_0	0.8636363636363636	0.3856209150326797	34	0.48484848484848486	22
Met_MGH_1	1.0	0.12121212121212122	0	1.0	2
Met_MGH_2	0.1531791907514451	0.2607382550335571	26	0.2777777777777778	346
Met_MGH_3	0.5	1.0	8	0.11111111111111116	2
NMI_MGH_0	1.0	0.4285714285714286	34	0.33333333333333337	8
NMI_MGH_2	0.9242424242424242	0.3613445378151261	42	0.3913043478260869	66
NMI_MGH_3	0.35802469135802467	0.6113821138211382	12	0.4285714285714286	81
NMI_MGH_4	1.0	0.6041841004184101	5	0.8809523809523809	76
NMI_MGH_5	0.38	0.16901408450704225	9	0.5	50
NMI_MGH_6	0.9375	0.27	29	0.2564102564102564	16
