tissueType,UberonOntologyID,cancerType,cellType,cellName,CellOntologyID,cellMarker,geneSymbol,geneID,proteinName,proteinID,markerResource,PMID,Company
Blood,UBERON_0000178,Normal,Normal cell,T cell,CL_0000084,CD3,"CD3D, CD3E, CD3G","915, 916, 917","CD3D, CD3E, CD3G","P04234, P07766, P09693",Experiment,25254006,NA
Blood,UBERON_0000178,Normal,Normal cell,T cell,CL_0000084,"CD3, CD8","CD3D, CD3E, CD3G, CD8A","915, 916, 917, 925","CD3D, CD3E, CD3G, CD8A","P04234, P07766, P09693, P01732",Experiment,23688120,NA
Blood,UBERON_0000178,Normal,Normal cell,T cell,CL_0000084,T-MICG,NA,NA,NA,NA,Experiment,84041,NA
Blood,UBERON_0000178,Normal,Normal cell,T cell,CL_0000084,CD3,"CD3D, CD3E, CD3G","915, 916, 917","CD3D, CD3E, CD3G","P04234, P07766, P09693",Experiment,21149806,NA
Blood,UBERON_0000178,Normal,Normal cell,T cell,CL_0000084,CD3,"CD3D, CD3E, CD3G","915, 916, 917","CD3D, CD3E, CD3G","P04234, P07766, P09693",Experiment,1534551,NA
Blood,UBERON_0000178,Normal,Normal cell,T cell,CL_0000084,UCHL1,UCHL1,7345,UCHL1,P09936,Experiment,1701954,NA
Peripheral blood,UBERON_0005408,Normal,Normal cell,T cell,CL_0000084,"CCR7, CD127, CD25, CD27, CD272, CD28, CD3, CD4, CD45RA, CD45RO, CD62L, CD8, CTLA4, PD-1, TIM3","CCR7, IL7R, IL2RA, CD27, BTLA, CD28, CD3D, CD3E, CD3G, CD4, PTPRC, PTPRC, SELL, CD8A, CTLA4, PDCD1, HAVCR2","1236, 3575, 3559, 939, 151888, 940, 915, 916, 917, 920, 5788, 5788, 6402, 925, 1493, 5133, 84868","CCR7, IL7RA, IL2RA, CD27, BTLA, CD28, CD3D, CD3E, CD3G, CD4, PTPRC, PTPRC, LYAM1, CD8A, CTLA4, RL17, HAVR2","P32248, P16871, P01589, P26842, Q7Z6A9, P10747, P04234, P07766, P09693, P01730, PTPRC, PTPRC, P14151, P01732, P16410, P18621, Q8TDQ0",Experiment,25799053,NA
Peripheral blood,UBERON_0005408,Normal,Normal cell,T cell,CL_0000084,CD3,"CD3D, CD3E, CD3G","915, 916, 917","CD3D, CD3E, CD3G","P04234, P07766, P09693",Experiment,16836616,NA
Peripheral blood,UBERON_0005408,Normal,Normal cell,T cell,CL_0000084,"CD27, CD28, CD3D, CD3E, CD3G","CD27, CD28, CD3D, CD3E, CD3G","939, 940, 915, 916, 917","CD27, CD28, CD3D, CD3E, CD3G","P26842, P10747, P04234, P07766, P09693",Single-cell sequencing,29230012,NA
Undefined,NA,Normal,Normal cell,T cell,CL_0000084,CD150,SLAMF1,6504,SLAF1,Q13291,Experiment,25170899,NA
Undefined,NA,Normal,Normal cell,T cell,CL_0000084,Dipeptidyl peptidase 4,DPP4,1803,DPP4,P27487,Experiment,6386188,NA
Undefined,NA,Normal,Normal cell,T cell,CL_0000084,"CD2, CD7","CD2, CD7","914, 924","CD2, CD7","P08920, P09564",Experiment,8162087,NA
Undefined,NA,Normal,Normal cell,T cell,CL_0000084,CD3,"CD3D, CD3E, CD3G","915, 916, 917","CD3D, CD3E, CD3G","P04234, P07766, P09693",Experiment,22484020,NA
Blood,UBERON_0000178,Normal,Normal cell,Dendritic cell,CL_0000451,CLEC9A,CLEC9A,283420,CLC9A,Q6UXN8,Experiment,18669894,NA
Blood,UBERON_0000178,Normal,Normal cell,Dendritic cell,CL_0000451,CD83,CD83,9308,CD83,Q01151,Experiment,9091299,NA
Blood,UBERON_0000178,Normal,Normal cell,Dendritic cell,CL_0000451,CD83,CD83,9308,CD83,Q01151,Experiment,7706722,NA
Peripheral blood,UBERON_0005408,Normal,Normal cell,Dendritic cell,CL_0000451,CD83,CD83,9308,CD83,Q01151,Experiment,29112895,NA
Peripheral blood,UBERON_0005408,Normal,Normal cell,Dendritic cell,CL_0000451,"CD83, CD86, MHC class II","CD83, CD86, MHC class II","9308, 942, MHC class II","CD83, CD86, MHC class II","Q01151, P42081, MHC class II",Experiment,22994596,NA
Peripheral blood,UBERON_0005408,Normal,Normal cell,Dendritic cell,CL_0000451,"CD80, CD86","CD80, CD86","941, 942","CD80, CD86","P33681, P42081",Experiment,22613597,NA
Peripheral blood,UBERON_0005408,Normal,Normal cell,Dendritic cell,CL_0000451,CD11c,ITGAX,3687,ITAX,P20702,Experiment,16783164,NA
Peripheral blood,UBERON_0005408,Normal,Normal cell,Dendritic cell,CL_0000451,"CLEC4C, IL3RA, NRP1","CLEC4C, IL3RA, NRP1","170482, 3563, 8829","CLC4C, IL3RA, NRP1","Q8WTT0, P26951, O14786",Single-cell sequencing,29230012,NA
Undefined,NA,Normal,Normal cell,Dendritic cell,CL_0000451,CD150,SLAMF1,6504,SLAF1,Q13291,Experiment,25170899,NA
Undefined,NA,Normal,Normal cell,Dendritic cell,CL_0000451,"CD80, CD86, MHC class II","CD80, CD86, MHC class II","941, 942, MHC class II","CD80, CD86, MHC class II","P33681, P42081, MHC class II",Experiment,21773750,NA
Undefined,NA,Normal,Normal cell,Dendritic cell,CL_0000451,CD11c,ITGAX,3687,ITAX,P20702,Experiment,28338898,NA
Peripheral blood,UBERON_0005408,Normal,Normal cell,Fibroblast,CL_0000057,"COL1A1, COL3A1, FAP, THY1","COL1A1, COL3A1, FAP, THY1","1277, 1281, 2191, 7070","CO1A1, CO3A1, SEPR, THY1","P02452, P02461, Q12884, P04216",Single-cell sequencing,29230012,NA
Undefined,NA,Normal,Normal cell,Fibroblast,CL_0000057,"CD105, CD11b, CD19, CD34, CD44, CD45, CD73, CD90, HLA-DR","ENG, ITGAM, CD19, CD34, CD44, PTPRC, NT5E, THY1, HLA-DR family","2022, 3684, 930, 947, 960, 5788, 4907, 7070, HLA-DR family","EGLN, ITAM, CD19, CD34, CD44, PTPRC, 5NTD, THY1, HLA-DR family","P17813, P11215, P15391, P28906, P16070, P08575, P21589, P04216, HLA-DR family",Experiment,25112013,NA
Undefined,NA,Normal,Normal cell,Myofibroblast,CL_0000186,alpha-SMA,ACTA2,59,ACTA,P62736,Experiment,29654633,NA
Undefined,NA,Normal,Normal cell,Myofibroblast,CL_0000186,alpha-SMA,ACTA2,59,ACTA,P62736,Experiment,17433115,NA
Prostate,UBERON_0002367,Normal,Normal cell,Basal cell,CL_0000646,TSC-22,TSC-22 family,TSC-22 family,TSC-22 family,TSC-22 family,Experiment,16106424,NA
Prostate,UBERON_0002367,Normal,Normal cell,Basal cell,CL_0000646,P63,TP63,8626,P63,Q9H3D4,Experiment,11106548,NA
Prostate,UBERON_0002367,Normal,Normal cell,Basal cell,CL_0000646,P63,TP63,8626,P63,Q9H3D4,Experiment,25429340,NA
